Time of Day,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Session ID,HVAC Operation Mode,Ambient Light Level,Activity Level
3.0,19.63,53.83,125.48999999999998,571.09,478.55,735.85,654.63,565.05,2.0,7241.0,5.0,5.0,2.0
3.0,19.62,54.25,126.55999999999999,585.54,505.56,737.11,649.96,558.07,1.0,7241.0,2.0,3.0,2.0
3.0,20.1,50.48,113.5,597.45,515.14,744.02,676.15,600.22,1.5714285714285714,7241.0,2.0,4.0,1.0
3.0,19.89,48.42,92.77,613.65,535.66,770.27,720.27,625.73,1.0,7241.0,3.0000000000000004,3.0,2.0
1.0,19.82,47.71000000000001,79.49,616.35,557.93,779.32,738.88,664.89,1.0,7241.0,6.000000000000001,4.0,2.0
4.0,20.04,48.42,118.29,582.62,474.78000000000003,736.89,694.94,628.88,1.0,6431.0,3.0000000000000004,1.0,2.0
4.0,19.29,52.67,136.29,574.12,474.92,721.38,680.51,622.28,1.0,7963.0,4.0,1.0,3.0
1.0,19.19,49.50999999999999,78.75,619.23,579.92,781.56,752.12,676.6999999999999,0.0,7241.0,1.0,1.0,3.0
1.0,19.71,48.68,80.16,615.97,575.49,780.08,732.35,667.93,0.0,7241.0,2.0,3.0,3.0
3.0,17.79,51.15,116.56,590.75,456.43,744.8714285714285,691.31,609.6,1.0,3418.0,6.000000000000001,3.0,3.0
1.0,19.51,49.93,85.29,612.37,544.45,766.13,717.66,636.11,0.0,7241.0,2.0,4.0,3.0
1.0,19.66,50.04,81.2,613.29,548.39,769.56,709.15,629.2,0.0,7241.0,5.0,2.0,3.0
1.0,19.26,51.57,86.13,618.58,538.61,770.22,709.51,622.5,0.0,7241.0,1.0,2.0,3.0
1.0,19.73,50.62,91.74,619.34,527.87,761.42,703.67,618.39,0.0,7241.0,3.0000000000000004,3.0,1.0
3.0,18.74,52.3,113.24,573.39,433.38999999999993,708.92,667.26,592.06,3.0,5172.0,3.0000000000000004,1.0,2.0
1.0,19.57,51.23,91.17,611.56,537.71,751.67,709.82,621.49,0.7142857142857143,7241.0,4.0,4.0,3.0
1.0,19.55,51.58,89.72,614.74,544.86,762.17,696.24,611.72,1.0,7241.0,1.0,2.0,2.0
1.0,19.96,50.99,86.21,618.52,524.72,751.8,694.86,609.13,1.0,7241.0,2.0,3.0,2.0
1.0,19.55,51.88,88.88,617.46,538.79,752.68,705.41,616.02,1.0,7241.0,2.0,1.0,3.0
4.0,18.26,50.82,125.73999999999998,580.64,480.8,752.28,706.58,642.24,1.0,6431.0,3.0000000000000004,3.0,2.0
1.0,17.92,44.65,88.62,599.76,531.04,738.88,683.91,604.78,0.0,3418.0,4.0,1.0,1.0
3.0,17.95,54.83,103.53,598.46,517.84,757.38,728.83,663.5299999999999,1.0,9658.0,5.0,4.0,3.0
4.0,20.69,47.47,113.84,577.92,452.04999999999995,725.78,689.07,616.06,1.5714285714285714,6431.0,5.0,4.0,1.0
3.0,19.56,56.21,137.55,556.54,431.28,692.18,649.0,572.4,2.0,6528.0,1.0,2.0,1.0
1.0,19.75,50.36,82.03,620.5,430.59,767.14,716.49,651.7,1.0,7241.0,5.0,3.0,1.0
2.0,24.02,48.39,128.69,539.59,386.8,628.7971428571428,543.86,477.86,4.0,7058.0,4.0,1.0,2.0
1.0,20.51,49.3,72.23,622.29,383.95,761.69,718.53,635.7,1.0,7241.0,2.0,4.0,3.0
1.0,20.14,49.06,78.42,629.87,365.92,769.8,722.7,632.21,2.0,7241.0,4.0,4.0,3.0
1.0,20.46,48.68,86.69,621.53,365.94,757.07,719.06,642.79,1.0,7241.0,1.0,1.0,1.0
1.0,20.17,49.76,82.71,614.67,344.93,758.39,706.43,620.17,1.0,7241.0,1.0,3.0,3.0
1.0,20.43,50.1,83.18,619.46,386.88000000000005,757.15,711.68,631.02,1.0,7241.0,1.0,2.0,1.0
1.0,20.62,49.78,80.43,617.49,411.5799999999999,756.03,701.61,617.47,1.0,7241.0,5.0,4.0,1.0
2.0,24.18,50.84,142.13,555.83,426.21,659.53,584.67,511.78,3.0,1903.0,3.0000000000000004,1.0,2.0
1.0,20.17,51.220000000000006,93.45,605.92,359.63,746.03,694.88,616.68,1.4285714285714286,7241.0,5.0,4.0,2.0
2.0,22.5,55.28,133.22,561.16,404.09999999999997,687.88,621.54,553.27,2.0,4761.0,4.0,2.0,2.0
1.0,22.99,51.07000000000001,116.78,532.68,402.18,692.1071428571429,615.56,534.38,4.0,4703.0,1.0,1.0,2.0
1.0,20.11,51.830000000000005,91.14,622.06,400.63,747.91,705.75,627.27,1.0,7241.0,5.0,5.0,2.0
4.0,20.46,52.84,104.57,549.99,488.9,735.78,674.24,606.47,1.0,4703.0,3.0000000000000004,1.0,2.0
4.0,21.930000000000003,49.830000000000005,15.690000000000001,602.38,445.0400000000001,715.68,675.32,593.17,1.0,9127.0,1.0,1.0,3.0
3.0,33.04,51.669999999999995,105.63,596.53,486.45,747.04,712.4,628.5,1.0,8374.0,1.0,3.0,1.0
1.0,19.73,52.82,90.26,615.88,402.74,755.03,693.76,626.51,1.0,7241.0,4.0,2.0,3.0
1.0,19.66,53.02,88.56,618.0,393.84999999999997,752.88,691.95,615.95,1.0,7241.0,1.0,1.0,3.0
3.0,17.14,43.94,97.56,595.75,390.66,762.33,713.84,606.34,1.0,3418.0,6.000000000000001,3.0,3.0
1.0,19.25,54.18,85.51,614.89,397.63,742.96,704.25,630.19,1.0,7241.0,2.0,5.0,1.0
1.0,19.25,54.29,82.73,617.71,431.59000000000003,753.49,704.74,638.31,1.0,7241.0,3.0000000000000004,4.0,3.0
1.0,20.21,52.42999999999999,92.17,611.77,470.91,732.7385714285714,696.02,625.57,1.0,7241.0,3.0000000000000004,1.0,2.0
1.0,20.88,51.1,87.69,613.55,466.68,739.93,691.75,631.09,1.0,7241.0,3.0000000000000004,2.0,2.0
1.0,21.58,50.26,85.43,617.12,470.03,747.22,557.83,603.93,1.0,7241.0,3.0000000000000004,4.0,2.0
2.0,19.87,50.52,113.22,581.26,432.1,709.41,669.51,595.52,2.0,6431.0,4.0,1.0,2.0
1.0,21.09,52.71,96.59,610.21,487.57,742.8,699.0,604.73,1.0,7241.0,6.000000000000001,2.0,3.0
1.0,21.57,51.77,97.78,613.97,478.00000000000006,745.17,699.79,621.28,1.0,7241.0,6.000000000000001,4.0,3.0
1.0,21.750000000000004,51.55,95.36,610.41,477.09,746.5,689.88,610.47,1.0,7241.0,3.0000000000000004,1.0,3.0
2.0,20.0,52.64,100.35,581.9,462.31,725.21,690.52,625.46,1.0,6528.0,2.0,3.0,3.0
4.0,20.59,53.55,112.06,594.24,455.59,731.75,697.35,592.69,1.0,5693.0,2.0,2.0,2.0
3.0,17.87,43.78,72.31,621.37,542.33,792.67,759.74,696.55,0.0,2105.0,4.0,3.0,2.0
2.0,22.21,51.93,96.84,603.22,473.49,737.88,684.76,608.71,1.0,7241.0,1.0,3.0,1.0
1.0,18.68,52.60000000000001,122.76000000000002,592.65,459.36,748.45,698.53,627.15,1.0,4129.0,1.0,1.0,3.0
2.0,8.5,51.839999999999996,104.24,609.73,473.94,719.96,676.31,608.42,1.0,7241.0,3.0000000000000004,1.0,2.0
3.0,19.81,58.73,210.94,550.02,497.95,710.3028571428571,600.78,541.39,1.4285714285714286,8936.0,3.0000000000000004,1.0,2.0
2.0,22.74,51.42,101.35,606.7,481.99000000000007,738.4,682.61,607.43,1.0,7241.0,3.0000000000000004,1.0,2.0
4.0,19.4,52.72999999999999,123.27,591.79,442.0400000000001,742.5,840.86,612.48,1.0,6847.0,1.0,4.0,3.0
2.0,22.92,51.209999999999994,104.26,604.86,467.7,728.67,678.74,604.88,1.0,7241.0,1.0,3.0,2.0
2.0,23.08,50.95,103.6,605.8,475.05999999999995,738.05,682.3,603.76,1.0,7241.0,3.0000000000000004,3.0,1.0
3.0,19.35,47.73,75.02,628.89,522.41,780.14,735.96,678.6099999999999,1.0,3856.0000000000005,1.0,3.0,3.0
2.0,23.700000000000003,49.71,108.18,612.99,454.82,723.5785714285714,690.5,615.6,1.0,7241.0,4.0,4.0,3.0
4.0,12.23,47.32,111.79,577.63,444.17999999999995,723.05,696.63,611.21,2.0,6431.0,3.0000000000000004,4.0,2.0
1.0,18.73,52.93,77.56,619.45,528.52,778.17,735.89,667.52,1.0,3856.0000000000005,2.0,1.0,3.0
4.0,19.87,52.56,112.71,557.02,481.91,716.87,678.51,589.65,1.0,2847.0,1.0,4.0,2.0
2.0,24.190000000000005,49.11,103.74,604.31,464.26,733.92,683.17,604.24,1.0,7241.0,4.0,4.0,3.0
2.0,24.1,49.16,102.76,602.38,464.49000000000007,733.79,682.02,615.1,1.0,7241.0,5.0,3.0,2.0
2.0,24.080000000000002,49.09000000000001,104.18,604.58,467.29,728.33,683.05,595.0,2.0,7241.0,6.000000000000001,2.0,2.0
3.0,19.37,57.36,116.61,598.11,474.23,713.5514285714286,680.17,611.96,2.0,7241.0,3.0000000000000004,4.0,2.0
2.0,24.500000000000004,47.59,103.87,602.01,477.57000000000005,728.99,678.9,614.44,1.0,7241.0,4.0,3.0,3.0
3.0,15.48,42.19,205.48,605.23,582.4,787.19,754.07,704.62,1.0,8052.0,1.0,3.0,2.0
2.0,24.770000000000003,46.93000000000001,103.96,597.91,473.57,737.45,673.47,598.38,1.0,7241.0,6.000000000000001,3.0,3.0
1.0,19.43,53.18,88.88,572.11,501.43,742.0,457.80999999999995,633.43,1.0,9385.0,1.0,4.0,2.0
2.0,24.920000000000005,46.65,107.37,600.03,447.28999999999996,728.44,516.23,590.03,2.0,7241.0,1.0,1.0,1.0
2.0,23.940000000000005,48.99,127.39000000000001,589.95,440.89,711.17,674.28,602.37,2.0,7241.0,4.0,3.0,2.0
1.0,16.31,48.26,72.75,605.7,577.58,775.85,742.24,689.61,0.2857142857142857,6431.0,6.000000000000001,4.0,2.0
2.0,24.91,48.19,116.51,595.11,428.15,720.54,662.7,578.52,2.0,7241.0,4.0,2.0,2.0
2.0,24.920000000000005,48.03,118.09,601.11,417.79,708.6985714285714,661.06,588.61,2.0,7241.0,4.0,1.0,2.0
4.0,21.0,57.78999999999999,120.21,546.37,478.82,713.24,670.89,597.22,1.0,5214.0,3.0000000000000004,1.0,2.0
2.0,24.860000000000003,48.300000000000004,130.24,594.77,365.15,706.19,870.05,570.54,3.0,7241.0,4.0,1.0,2.0
1.0,18.35,53.43,103.09,566.36,480.61,709.68,632.42,565.37,1.0,7058.0,4.0,4.0,2.0
2.0,24.630000000000003,48.57,123.46000000000001,601.1,407.89,709.44,662.95,576.78,3.0,7241.0,4.0,3.0,2.0
2.0,23.96,50.52,142.7,546.69,435.3399999999999,697.22,645.93,594.2,1.0,9385.0,5.0,3.0,2.0
3.0,17.43,42.6,89.42,595.38,518.17,763.78,726.05,668.42,0.8571428571428571,8052.0,4.0,3.0,3.0
4.0,17.79,52.62,123.40999999999998,596.48,493.58,752.38,830.88,648.72,0.0,5820.0,1.0,4.0,3.0
2.0,23.1,52.18,110.27,560.57,447.56,654.2,560.93,503.62000000000006,3.0,1903.0,4.0,1.0,2.0
2.0,22.400000000000002,53.050000000000004,116.49,599.1,410.1700000000001,722.42,866.96,589.7,3.0,7241.0,2.0,3.0,2.0
2.0,22.350000000000005,53.17,119.07000000000001,593.89,415.87,719.3,665.41,585.05,3.0,7241.0,2.0,1.0,2.0
2.0,30.059999999999995,52.67,118.15,599.75,421.33,711.87,652.67,591.1,3.0,7241.0,2.0,4.0,2.0
2.0,19.68,50.01,123.28000000000002,592.99,483.42,706.8,658.89,554.69,1.0,6847.0,5.0,4.0,3.0
2.0,22.21,53.22,123.40999999999998,593.88,429.39,720.29,659.25,601.76,3.0,7241.0,2.0,3.0,2.0
4.0,12.61,52.79,115.64,550.87,471.87,697.03,636.66,571.41,1.0,6817.0,5.0,1.0,2.0
2.0,21.78,54.45000000000001,118.66,594.33,436.87000000000006,726.24,668.06,596.04,3.0,7241.0,6.000000000000001,3.0,2.0
2.0,21.76,54.56,108.5,595.12,433.78,720.91,676.09,583.71,3.0,7241.0,1.0,3.0,2.0
2.0,21.35,55.62,108.0,601.31,420.71999999999997,724.33,661.88,597.16,2.857142857142857,7241.0,2.0,4.0,2.0
2.0,21.320000000000004,55.61,109.89,597.03,442.13,730.23,867.28,599.02,3.0,7241.0,3.0000000000000004,4.0,2.0
2.0,22.71,44.00999999999999,128.81,573.47,481.3399999999999,711.69,679.0,583.12,1.8571428571428572,2679.0,2.0,3.0,2.0
2.0,21.160000000000004,55.76,107.38,602.47,436.83,715.7842857142857,668.45,601.09,3.0,7241.0,3.0000000000000004,1.0,2.0
1.0,23.62,46.37,113.93,582.38,445.80999999999995,739.6728571428571,668.24,613.45,1.0,4507.0,3.0000000000000004,3.0,1.0
3.0,18.63,53.7,120.52,592.7,453.39,721.3414285714287,698.51,636.75,1.0,6847.0,1.0,5.0,2.0
1.0,19.43,57.72,105.62,559.73,535.39,728.63,664.71,601.35,1.0,8936.0,1.0,4.0,2.0
4.0,19.9,49.2,116.29,597.39,443.82,741.67,693.7,614.9,1.0,2105.0,3.0000000000000004,1.0,3.0
4.0,20.91,55.970000000000006,107.39,604.7,422.89,721.65,673.3,604.38,3.0,7241.0,3.0000000000000004,3.0,2.0
4.0,20.810000000000002,55.89,105.45,606.57,439.84999999999997,727.03,667.44,614.16,3.0,7241.0,6.000000000000001,1.0,2.0
4.0,20.890000000000004,55.69,112.69,606.54,437.11,735.21,688.53,599.96,3.0,7241.0,5.0,4.0,2.0
4.0,20.940000000000005,55.52000000000001,112.72,598.92,426.91,726.21,677.0,601.7,3.0,7241.0,6.000000000000001,2.0,2.0
4.0,20.740000000000002,55.970000000000006,103.41,597.49,424.40999999999997,717.5,675.13,609.07,3.0,7241.0,3.0000000000000004,3.0,2.0
2.0,22.73,50.64,123.65,556.98,457.05000000000007,698.2585714285714,645.75,573.9,2.0,7058.0,1.0,4.0,2.0
3.0,18.66,49.74,128.87,575.8,475.43,716.56,667.52,589.09,2.0,9184.0,6.000000000000001,4.0,2.0
4.0,21.42,52.449999999999996,121.59999999999998,571.89,380.21000000000004,684.66,645.78,549.15,2.0,7395.0,1.0,3.0,2.0
2.0,25.16,46.81,116.69,566.75,410.7,702.67,654.69,565.48,2.0,7395.0,6.000000000000001,4.0,2.0
4.0,20.63,56.16,111.24,598.67,438.41,732.05,675.05,598.57,3.0,7241.0,2.0,3.0,2.0
4.0,20.52,56.48,108.75,601.48,433.34999999999997,722.11,662.14,600.02,2.142857142857143,7241.0,5.0,1.0,2.0
4.0,20.43,56.6,110.95,600.07,434.74,731.27,674.68,598.28,3.0,7241.0,3.0000000000000004,3.0,2.0
4.0,20.39,56.53,105.61,596.26,423.53,733.34,667.54,601.55,3.0,7241.0,2.0,5.0,2.0
4.0,20.69,58.24,119.07000000000001,546.63,472.5,715.45,675.03,600.97,1.0,8936.0,5.0,1.0,2.0
